file,plant_number,i_probes,i_walks,i_cleans,i_off,psyllid,mins_away,sex,variety,plant_size
RB_p4_t8.csv,4,1,1,0,0,119,13,f,RB,13
RB_p5_t1.csv,5,2,1,0,0,120,21,f,RB,18
RB_p5_t2.csv,5,2,2,0,0,121,33,m,RB,18
RB_p5_t3.csv,5,1,0,0,0,122,32,f,RB,18
RB_p5_t4.csv,5,9,4,0,0,123,48,m,RB,18
RB_p5_t5.csv,5,3,2,0,0,124,23,m,RB,18
RB_p5_t6.csv,5,3,3,0,1,125,31,f,RB,18
RB_p5_t7.csv,5,8,7,0,0,126,43,f,RB,18
RB_p5_t8.csv,5,1,0,0,0,127,62,f,RB,18
RB_p5_t9.csv,5,1,1,0,0,128,11,m,RB,18
RB_p6_t1.csv,6,2,1,1,0,129,19,m,RB,17
RB_p6_t10.csv,6,1,0,0,0,138,67,m,RB,17
RB_p6_t2.csv,6,9,2,0,0,130,28,f,RB,17
RB_p6_t3.csv,6,1,0,0,0,131,41,f,RB,17
RB_p6_t4.csv,6,1,0,0,0,132,54,m,RB,17
RB_p6_t5.csv,6,10,4,0,1,133,10,f,RB,17
RB_p6_t6.csv,6,1,0,2,0,134,16,m,RB,17
RB_p6_t7.csv,6,1,0,0,0,135,25,m,RB,17
RB_p6_t8.csv,6,1,0,0,0,136,46,f,RB,17
RB_p6_t9.csv,6,5,4,0,0,137,54,f,RB,17
RB_p7_t1.csv,7,6,3,0,0,139,15,f,RB,16.5
RB_p7_t10.csv,7,1,0,0,0,148,41,m,RB,16.5
RB_p7_t11.csv,7,1,0,0,0,149,69,m,RB,16.5
RB_p7_t12.csv,7,3,1,0,0,150,16,f,RB,16.5
RB_p7_t13.csv,7,4,3,0,1,151,28,f,RB,16.5
RB_p7_t2.csv,7,1,0,0,0,140,25,m,RB,16.5
RB_p7_t3.csv,7,3,2,0,0,141,35,f,RB,16.5
RB_p7_t4.csv,7,2,1,0,0,142,44,f,RB,16.5
RB_p7_t5.csv,7,2,1,2,0,143,51,f,RB,16.5
RB_p7_t6.csv,7,1,0,0,0,144,58,f,RB,16.5
RB_p7_t7.csv,7,1,0,1,0,145,67,m,RB,16.5
RB_p7_t8.csv,7,1,0,0,0,146,24,m,RB,16.5
RB_p7_t9.csv,7,6,4,0,0,147,31,f,RB,16.5
